reaction	linear_coefficient
CA2tex	[0.46825255981593544]
ALPATE160pp	[0.4629125945420075]
CADVtpp	[0.5508915100430506]
CAT	[0.5898302389061245]
BETALDHy	[0.6084503232630878]
BGLK	[0.6143231464148731]
BLUB	[0.6163645538090758]
BPNT	[0.6163645538090758]
BSORx	[np.float64(0.5681022767471268)]
BSORy	[np.float64(0.5681022767471268)]
CATDOX	[0.7155678678731607]
CAt6pp	[0.7244333055199924]
CBIAT	[0.8725497417650027]
CBItonex	[0.5884357338072282]
ALPATG160pp	[0.4629125945420075]
CBIuabcpp	[0.7623755248798381]
CBL1abcpp	[0.7623755248798381]
CBL1tonex	[0.5884357338072282]
ALR2	[np.float64(0.5681022767471268)]
CBLAT	[0.8725497417650027]
BTDD_RR	[0.6163645538090758]
ALR4x	[0.7433294642960308]
BTDt_RR	[0.6163645538090758]
BTS4	[0.5866370690447138]
CBPS	[0.4394761895421163]
CD2abcpp	[0.5713446897947223]
BUTCT	[0.7433294642960308]
BUTSO3abcpp	[0.6065169168989859]
CD2t3pp	[0.5550910322843488]
BUTSO3tex	[0.46825255981593544]
ALTRH	[np.float64(0.5681022767471268)]
BUTtex	[0.46825255981593544]
CD2tex	[0.46825255981593544]
CD2tpp	[0.43995570574782955]
CDAPPA120	[np.float64(0.5681022767471268)]
BZ12DOX	[0.7433294642960308]
AM3PA	[np.float64(0.5681022767471268)]
CDAPPA140	[np.float64(0.5681022767471268)]
CDAPPA141	[np.float64(0.5681022767471268)]
CDAPPA160	[np.float64(0.5681022767471268)]
CDAPPA161	[np.float64(0.5681022767471268)]
CLPNS181pp	[0.5898302389061245]
CLt3_2pp	[0.6052378029231155]
AM4PA	[np.float64(0.5681022767471268)]
CLtex	[0.46825255981593544]
CDAPPA180	[np.float64(0.5681022767471268)]
CDAPPA181	[np.float64(0.5681022767471268)]
CDPMEK	[0.6889145258016037]
AM4PCP	[np.float64(0.5681022767471268)]
CELLBabc	[0.6163645538090758]
CFAS160E	[0.7335704354597983]
CMCMSAD	[0.7747352752234539]
CMHMI	[0.8275523434120884]
CMPtex	[0.46825255981593544]
CFAS160G	[0.7335704354597983]
AMALT1	[0.5896591211121834]
CFAS180E	[0.7335704354597983]
CO2tex	[0.46825255981593544]
CO2tpp	[0.6163645538090758]
CFAS180G	[0.7335704354597983]
AMALT2	[0.5896591211121834]
COBALT2abcpp	[0.5713446897947223]
COBALT2t3pp	[0.5550910322843488]
CGLYabcpp	[0.5406898794703616]
AMALT3	[0.5896591211121834]
CGLYtex	[0.46825255981593544]
COBALT2tex	[0.46825255981593544]
COBALT2tpp	[0.43995570574782955]
COLIPAabcpp	[0.5903997306006974]
CHLabcpp	[0.5682816195691044]
CHLt2pp	[np.float64(0.5681022767471268)]
CHLtex	[0.46825255981593544]
CHORM	[0.6084243878913845]
AMALT4	[0.5896591211121834]
CHORS	[0.7715927779914323]
CHRPL	[0.6126106424113159]
CPC2MT	[0.8505742681507886]
CPC3MT	[0.7101015070332943]
CPC4MT	[0.7433294642960308]
CITACt	[0.4364480131684916]
AMANAPEr	[0.7208774766271615]
CITL	[0.5567033416303426]
CPC5MT	[0.7090108101167757]
AMAOTr	[np.float64(0.5681022767471268)]
CPC6MT	[0.8505742681507886]
CPC6R	[0.7433294642960308]
CITt4_1	[0.42963417366376544]
CLIPAtex	[0.6163645538090758]
CPC8MM	[0.8536951980889576]
CLPNH120pp	[0.6163645538090758]
AMMQLT8	[0.8536951980889576]
CLPNH140pp	[0.6163645538090758]
CLPNH141pp	[0.6163645538090758]
CPGNabcpp	[0.7433294642960308]
CPPPGO	[0.7433294642960308]
AMPMS2	[np.float64(0.5681022767471268)]
CPPPGO2	[np.float64(0.5681022767471268)]
CLPNH160pp	[0.6163645538090758]
CLPNH161pp	[0.6163645538090758]
CRNDabcpp	[np.float64(0.5681022767471268)]
CRNDt2rpp	[0.5423836460314775]
CRNabcpp	[np.float64(0.5681022767471268)]
CRNt2rpp	[0.5423836460314775]
CLPNH180pp	[0.6163645538090758]
CLPNH181pp	[0.6163645538090758]
CLPNS120pp	[0.5898302389061245]
CLPNS140pp	[0.5898302389061245]
CRNtex	[0.46825255981593544]
CS	[0.6084243878913845]
AMPN	[np.float64(0.5681022767471268)]
CSND	[0.558180162796001]
CSNt2pp	[0.5525682423664993]
CSNtex	[0.46825255981593544]
CLPNS141pp	[0.5898302389061245]
CLPNS160pp	[0.5898302389061245]
CTBTabcpp	[np.float64(0.5681022767471268)]
CLPNS161pp	[0.5898302389061245]
AMPTASECG	[0.5443879373010698]
CLPNS180pp	[0.5898302389061245]
EX_cgly_e	[0.6163645538090758]
CTBTt2rpp	[0.5423836460314775]
CTPS2	[0.5597253628046721]
CU1Opp	[0.5705999866973576]
CU1abcpp	[np.float64(0.5681022767471268)]
CU2abcpp	[0.5713446897947223]
AMPTASEPG	[0.5443879373010698]
AMPtex	[0.46825255981593544]
ANHGMtex	[0.46825255981593544]
CU2tex	[0.46825255981593544]
CU2tpp	[0.43995570574782955]
CUt3	[0.6161149884064464]
CUtex	[0.46825255981593544]
CYANST	[np.float64(0.5681022767471268)]
CYSDtex	[0.46825255981593544]
CYSS	[np.float64(0.5681022767471268)]
CYSSADS	[0.5898302389061245]
CYANSTpp	[np.float64(0.5681022767471268)]
ANHMK	[0.5583941767106855]
CYANtex	[0.46825255981593544]
CYNTt2pp	[0.708392566292333]
ANPRT	[0.7433294642960308]
CYNTtex	[0.46825255981593544]
CYRDAAT	[0.8725497417650027]
CYRDAR2	[0.6163645538090758]
CYSTGL	[0.7433294642960308]
CYSTL	[0.7433294642960308]
CYSTRS	[np.float64(0.5681022767471268)]
CYRDAS	[0.6163645538090758]
CYS	[0.5597253628046721]
CYSTS	[0.5597253628046721]
CYSDDS	[0.7627833609344082]
ANS	[0.5898302389061245]
CYSDS	[0.7433294642960308]
CYSabc2pp	[0.6020653805547053]
CYSabcpp	[0.6163645538090758]
AOBUTDs	[0.6163645538090758]
CYStex	[0.46825255981593544]
CYStpp	[0.7433294642960308]
CYSDabcpp	[0.6163645538090758]
AOXSr	[0.7858514577590208]
CYTBDpp	[0.5898302389061245]
CYTBO3_4pp	[0.5770717761230368]
CYTD	[0.5547506558668611]
CYTDH	[0.5453697056899132]
CYTDK2	[0.6009809362125537]
DCYTt2pp	[np.float64(0.5681022767471268)]
DCYTtex	[0.43250476162828444]
AP4AH	[0.5583313822087721]
DDCAtexi	[0.46503005103018724]
DDGALK	[0.7433294642960308]
CYTDt2pp	[np.float64(0.5681022767471268)]
CYTDtex	[0.46825255981593544]
CYTK1	[np.float64(0.5681022767471268)]
DDGLCNt2rpp	[1.0]
DDGLCNtex	[0.46825255981593544]
CYTK2	[np.float64(0.5681022767471268)]
AP5AH	[0.5583313822087721]
D_LACt2pp	[0.5597253628046721]
D_LACtex	[0.46825255981593544]
DDGLK	[np.float64(0.5681022767471268)]
DDPA	[np.float64(0.5681022767471268)]
DDPGALA	[0.8725497417650027]
D5KGK	[0.5743491612611994]
DGK1	[0.558180162796001]
APPLDHr	[0.6163645538090758]
DGMPtex	[0.46825255981593544]
DGSNt2pp	[np.float64(0.5681022767471268)]
DGSNtex	[0.46825255981593544]
D5KGPA	[0.6163645538090758]
DAAD	[np.float64(0.5681022767471268)]
DHAD1	[0.7433294642960308]
DACTt3	[0.6163645538090758]
DADA	[0.6992912079420609]
DADK	[0.384895010021628]
DADNt2pp	[np.float64(0.5681022767471268)]
DHAD2	[0.7433294642960308]
APRAUR	[0.5764799033269853]
DHAK	[np.float64(0.5681022767471268)]
DHAPT	[0.46240952071220787]
DADNtex	[0.43250476162828444]
DAGK120	[0.7155678678731607]
DAGK140	[0.7155678678731607]
DHAtex	[0.46825255981593544]
DHAtpp	[0.6163645538090758]
DAGK141	[0.7155678678731607]
APTNAT	[0.6112409425895942]
DAGK160	[0.7155678678731607]
DHBD	[0.8505742681507886]
DHBS	[0.7335704354597983]
DHBSH	[0.6163645538090758]
DAGK161	[0.7155678678731607]
ARAI	[np.float64(0.5681022767471268)]
DAGK180	[0.7155678678731607]
DAGK181	[0.7155678678731607]
DHCINDO	[0.7848257301022159]
DHDPRy	[0.41507619184370487]
DHDPS	[0.6052378029231155]
DHEDAA	[0.7433294642960308]
DALAt2pp	[0.46825255981593544]
DALAtex	[0.46825255981593544]
ARAT	[0.5453697056899132]
DAMPtex	[0.46825255981593544]
DAPAL	[0.5896591211121834]
DHFR	[0.42361018118649896]
DHFS	[0.7433294642960308]
DHNAOT4	[0.6965632952788855]
DHNPA2r	[0.5466636757796308]
DHORD2	[0.699454159695199]
DAPAT	[0.6163645538090758]
DAPDC	[0.5896591211121834]
DHORD5	[0.699454159695199]
ARBTNabcpp	[0.7433294642960308]
DHORTS	[0.7433294642960308]
DAPE	[0.7802358771473858]
DAPtex	[0.46825255981593544]
DASYN120	[0.7433294642960308]
DHPACCOAHIT	[0.5453697056899132]
ARBt2rpp	[0.5453697056899132]
DHPDO	[0.7433294642960308]
DHPPDA2	[0.5764799033269853]
DASYN140	[0.7433294642960308]
DASYN141	[0.7433294642960308]
DHPS2	[0.7848257301022159]
DASYN160	[0.7433294642960308]
ARBt3ipp	[0.7433294642960308]
DASYN161	[0.7433294642960308]
DASYN180	[0.7433294642960308]
DHPTPE	[0.938112961358253]
DHQS	[0.6889145258016037]
DHQTi	[0.7433294642960308]
DASYN181	[0.7433294642960308]
DIMPtex	[0.46825255981593544]
ARBtex	[0.46825255981593544]
DINSt2pp	[np.float64(0.5681022767471268)]
DINStex	[0.46825255981593544]
DB4PS	[0.46825255981593544]
DBTS	[np.float64(0.5681022767471268)]
DCAtex	[0.46825255981593544]
DCMPtex	[0.46825255981593544]
DCTPD	[0.7234321498123022]
DKDID	[np.float64(0.5681022767471268)]
DKGLCNR1	[0.6052378029231155]
DKGLCNR2x	[0.7433294642960308]
DCYTD	[0.5547506558668611]
ARD_1	[0.6163645538090758]
DKGLCNR2y	[0.7433294642960308]
DKMPPD	[0.6163645538090758]
DKMPPD3	[0.6163645538090758]
DMATT	[0.7433294642960308]
DMPPS	[0.8505742681507886]
DMQMT	[np.float64(0.5681022767471268)]
DNTPPA	[0.800808253784213]
DOPAtex	[0.46825255981593544]
ARD1	[0.7433294642960308]
DPCOAK	[0.5682816195691044]
DMSOR1	[0.5860263839385861]
DPR	[0.6084243878913845]
ARGDCpp	[0.5525682423664993]
DRPA	[0.4359083207107949]
DSBAO1	[0.4359083207107949]
DMSOR2	[0.5860263839385861]
DMSOtex	[0.46825255981593544]
DMStex	[0.46825255981593544]
DSBAO2	[0.4359083207107949]
ARGORNt7pp	[0.7433294642960308]
DSBCGT	[0.5682816195691044]
DSBDR	[0.3508211129561678]
DSBGGT	[0.6101056765526688]
DSERDHr	[np.float64(0.5681022767471268)]
DSERt2pp	[0.46825255981593544]
DNAMTn2r	[0.7433294642960308]
DNMPPA	[0.6163645538090758]
DSERtex	[0.46825255981593544]
ARGSL	[np.float64(0.5681022767471268)]
ARGSS	[np.float64(0.5681022767471268)]
ARGTRS	[np.float64(0.5681022767471268)]
DTMPK	[0.9431253713877706]
ECOAH8	[0.6889145258016037]
EDA	[0.7433294642960308]
EDD	[0.5875400879698582]
DTMPtex	[0.46825255981593544]
ARGabcpp	[0.46825255981593544]
DUMPtex	[0.46825255981593544]
DURIK1	[0.7382141907682447]
EDTXS1	[0.5743491612611994]
EDTXS2	[0.7433294642960308]
EDTXS3	[0.7911985131043663]
EDTXS4	[0.7433294642960308]
DURIPP	[np.float64(0.5681022767471268)]
EX_cellb_e	[0.6163645538090758]
DURIt2pp	[np.float64(0.5681022767471268)]
DURItex	[0.43250476162828444]
DUTPDP	[0.7254153915951552]
DXPRIi	[np.float64(0.5681022767471268)]
DXPS	[0.7072859484217623]
ENO	[0.5845431378369166]
2OH3K5MPPISO	[0.6163645538090758]
ENTCS	[0.938112961358253]
ENTERES	[0.544971996481262]
ENTERES2	[0.544971996481262]
ETHAAL	[0.6148780725898554]
DXYLK	[np.float64(0.5681022767471268)]
E4PD	[np.float64(0.5681022767471268)]
EAR100x	[np.float64(0.5681022767471268)]
EAR100y	[np.float64(0.5681022767471268)]
EAR120x	[np.float64(0.5681022767471268)]
FDH5pp_1	[0.5898302389061245]
EAR120y	[np.float64(0.5681022767471268)]
EAR121x	[np.float64(0.5681022767471268)]
EAR121y	[np.float64(0.5681022767471268)]
EAR140x	[np.float64(0.5681022767471268)]
EAR140y	[np.float64(0.5681022767471268)]
EAR141x	[np.float64(0.5681022767471268)]
ETHAt	[0.938112961358253]
ETHAtex	[0.46825255981593544]
ETHSO3abcpp	[0.6065169168989859]
ETHSO3tex	[0.46825255981593544]
ETOHt2rpp	[0.6163645538090758]
ETOHtex	[0.46825255981593544]
F6PA	[0.5525682423664993]
EAR141y	[np.float64(0.5681022767471268)]
EAR160x	[np.float64(0.5681022767471268)]
F6PP	[np.float64(0.5681022767471268)]
EAR160y	[np.float64(0.5681022767471268)]
FDMO	[0.7433294642960308]
EAR161x	[np.float64(0.5681022767471268)]
EAR161y	[np.float64(0.5681022767471268)]
EAR180x	[np.float64(0.5681022767471268)]
F6Pt6_2pp	[0.5443879373010698]
F6Ptex	[0.46825255981593544]
FA100ACPHi	[0.3138320455496471]
FA120ACPHi	[0.3138320455496471]
FA140ACPHi	[0.3138320455496471]
FA141ACPHi	[0.3138320455496471]
FA160ACPHi	[0.3138320455496471]
FA161ACPHi	[0.3138320455496471]
