reaction	linear_coefficient
EAR121y	[np.float64(0.0037751224030668573)]
EAR140x	[np.float64(0.0037751224030668573)]
EAR140y	[np.float64(0.0037751224030668573)]
EAR141x	[np.float64(0.0037751224030668573)]
ETHAt	[0.04598343588627746]
ETHAtex	[0.00044489429360646855]
ETHSO3abcpp	[0.040089130149306415]
ETHSO3tex	[0.00044489429360646855]
ETOHt2rpp	[0.011996981791048779]
ETOHtex	[0.00044489429360646855]
F6PA	[0.36418663102955834]
EAR141y	[np.float64(0.0037751224030668573)]
EAR160x	[np.float64(0.0037751224030668573)]
F6PP	[0.008154069440376917]
EAR160y	[np.float64(0.0037751224030668573)]
FDMO	[0.36418663102955834]
EAR161x	[np.float64(0.0037751224030668573)]
EAR161y	[np.float64(0.0037751224030668573)]
EAR180x	[np.float64(0.0037751224030668573)]
F6Pt6_2pp	[0.36418663102955834]
F6Ptex	[0.00044489429360646855]
FA100ACPHi	[0.09872551644910717]
FA120ACPHi	[0.09872551644910717]
FA140ACPHi	[0.09872551644910717]
FA141ACPHi	[0.09872551644910717]
FA160ACPHi	[0.09872551644910717]
FA161ACPHi	[0.09872551644910717]
EAR180y	[np.float64(0.0037751224030668573)]
EAR181x	[np.float64(0.0037751224030668573)]
EAR181y	[np.float64(0.0037751224030668573)]
EAR40x	[np.float64(0.0037751224030668573)]
EAR40y	[np.float64(0.0037751224030668573)]
EAR60x	[np.float64(0.0037751224030668573)]
FA80ACPHi	[0.09872551644910717]
FACOAE100	[0.00570292685698311]
EAR60y	[np.float64(0.0037751224030668573)]
FACOAE120	[0.00570292685698311]
FDMO2	[0.36418663102955834]
FACOAE140	[0.00570292685698311]
FACOAE141	[0.00570292685698311]
FACOAE160	[0.00570292685698311]
EAR80x	[np.float64(0.0037751224030668573)]
EAR80y	[np.float64(0.0037751224030668573)]
ECAP1pp	[0.006552672731309886]
ECAP2pp	[0.006552672731309886]
FACOAE161	[0.00570292685698311]
FACOAE180	[0.00570292685698311]
ECAP3pp	[0.006552672731309886]
FACOAE181	[0.00570292685698311]
FDMO3	[0.36418663102955834]
FACOAE60	[0.00570292685698311]
FACOAE80	[0.00570292685698311]
ECAtpp	[0.36418663102955834]
ECOAH1	[0.0034570894407536436]
ECOAH2	[0.0034570894407536436]
ECOAH3	[0.0034570894407536436]
FACOAL100t2pp	[np.float64(0.0037751224030668573)]
FACOAL120t2pp	[np.float64(0.0037751224030668573)]
FACOAL140t2pp	[np.float64(0.0037751224030668573)]
FACOAL141t2pp	[np.float64(0.0037751224030668573)]
ECOAH4	[0.0034570894407536436]
FDMO4	[0.36418663102955834]
